iter	Logloss
0	0.5331375064
1	0.4295551905
2	0.3799814408
3	0.3451137386
4	0.3280819753
5	0.3162276503
6	0.3099791647
7	0.298851892
8	0.2912276192
9	0.2855243046
10	0.2833390285
11	0.2820942808
12	0.2812036348
13	0.2789753608
14	0.2751804318
15	0.2729970182
16	0.2716125111
17	0.2694239131
18	0.2685799355
19	0.2677878209
20	0.2669196099
21	0.2650707814
22	0.2635437296
23	0.261735677
24	0.2601175315
25	0.2592681496
26	0.2588372758
27	0.2582644128
28	0.2570361838
29	0.2564445757
30	0.2554474411
31	0.2548142947
32	0.2538138938
33	0.2532865527
34	0.2524570899
35	0.2511593341
36	0.2503538088
37	0.2499079357
38	0.2489531171
39	0.2468438794
40	0.2453479261
41	0.2446489185
42	0.2424752012
43	0.2413695561
44	0.2398560045
45	0.2376080642
46	0.237052287
47	0.2363493805
48	0.2356588005
49	0.2352414406
50	0.2344666766
51	0.2336531213
52	0.2330309402
53	0.232364371
54	0.231886746
55	0.2309706687
56	0.2305284661
57	0.2295527617
58	0.229067734
59	0.2278062328
60	0.2273195942
61	0.2265781338
62	0.2258959885
63	0.2254179783
64	0.2249903144
65	0.2246692024
66	0.2238840399
67	0.2234775243
68	0.2229227559
69	0.2221703575
70	0.221878261
71	0.2212090855
72	0.220397391
73	0.2197377209
74	0.2190584865
75	0.2184166709
76	0.2177534803
77	0.2172994427
78	0.2166559564
79	0.2160190804
80	0.2154743051
81	0.214815656
82	0.2142641223
83	0.2139131086
84	0.2135755847
85	0.2126968189
86	0.2122571802
87	0.2117408895
88	0.2112921569
89	0.2109105766
90	0.2105593706
91	0.210132226
92	0.2094702467
93	0.2089591151
94	0.2083345755
95	0.2078060035
96	0.2074193462
97	0.2069262554
98	0.2062745304
99	0.2058060928
