iter	Passed	Remaining
0	121	11993
1	155	7626
2	201	6509
3	233	5600
4	257	4894
5	280	4398
6	300	3991
7	320	3689
8	344	3484
9	369	3323
10	403	3266
11	424	3111
12	443	2968
13	465	2862
14	485	2748
15	508	2669
16	528	2578
17	558	2543
18	580	2474
19	603	2415
20	647	2434
21	674	2391
22	694	2325
23	713	2259
24	762	2287
25	789	2247
26	846	2288
27	865	2225
28	895	2191
29	924	2157
30	952	2120
31	977	2077
32	1003	2037
33	1027	1995
34	1056	1961
35	1075	1911
36	1111	1893
37	1132	1847
38	1152	1802
39	1170	1756
40	1219	1754
41	1238	1710
42	1289	1708
43	1316	1676
44	1340	1637
45	1359	1595
46	1378	1554
47	1396	1512
48	1415	1473
49	1433	1433
50	1471	1414
51	1508	1392
52	1531	1358
53	1550	1321
54	1569	1284
55	1588	1248
56	1607	1212
57	1626	1177
58	1645	1143
59	1666	1110
60	1689	1080
61	1714	1050
62	1734	1018
63	1754	986
64	1774	955
65	1793	923
66	1814	893
67	1832	862
68	1852	832
69	1876	804
70	1898	775
71	1920	746
72	1939	717
73	1958	688
74	1977	659
75	1997	630
76	2017	602
77	2037	574
78	2059	547
79	2081	520
80	2101	493
81	2124	466
82	2143	438
83	2164	412
84	2183	385
85	2202	358
86	2222	332
87	2246	306
88	2271	280
89	2290	254
90	2314	228
91	2333	202
92	2352	177
93	2370	151
94	2389	125
95	2408	100
96	2433	75
97	2455	50
98	2476	25
99	2495	0
