ID,electricity_consumption
552,230.5117
553,214.88531
554,214.37424
555,208.79306
556,321.90372
557,243.26414
558,254.05244
559,294.11423
560,333.96353
561,250.16817
562,292.62714
563,258.7063
564,251.76482
565,325.63974
566,322.96857
567,354.33685
568,332.6967
569,313.1695
570,249.44797
571,308.86624
572,428.2353
573,342.48926
574,363.89752
575,460.97537
576,276.1468
577,424.69693
578,376.08633
579,372.9637
580,271.44006
581,253.73486
582,257.0075
583,248.20442
584,233.78957
585,206.65877
586,247.4729
587,221.10355
588,235.90407
589,226.17201
590,227.86543
591,220.03044
592,224.37778
593,227.1551
594,214.458
595,273.55402
596,246.73698
597,384.32568
598,323.73816
599,356.42712
600,348.62634
601,295.25757
602,292.66617
603,338.34354
604,286.36057
605,245.06757
606,245.38446
607,281.23584
608,270.27304
609,280.40265
610,266.00665
611,241.83383
612,275.645
613,311.82895
614,326.45963
615,310.30402
616,337.82516
617,359.9842
618,256.39548
619,421.61908
620,343.49808
621,380.7845
622,344.13452
623,348.7786
624,311.21368
625,353.24774
626,327.2147
627,306.4769
628,240.42163
629,235.23592
630,232.23442
631,247.9042
632,259.26483
633,218.9459
634,256.38727
635,238.12894
636,256.07654
637,301.6761
638,261.64658
639,348.27496
640,322.09473
641,294.54297
642,235.28273
643,265.79633
644,246.64357
645,284.828
646,275.98126
647,362.2339
648,250.69218
649,346.1233
650,276.8043
651,289.52502
652,251.25323
653,259.0095
654,244.82698
655,247.1345
656,318.60052
657,233.36494
658,258.32413
659,244.00362
660,247.18454
661,263.55832
662,254.84955
663,246.39632
664,241.25725
665,239.14516
666,227.29337
667,268.55112
668,235.98132
669,263.1533
670,227.03868
671,254.2157
672,240.84108
673,218.26122
674,242.09747
675,241.92415
676,223.00093
677,223.98616
678,234.73122
679,244.56332
680,244.32263
681,246.17703
682,267.49118
683,278.29202
684,262.42477
685,286.3046
686,313.15344
687,268.92615
688,268.83737
689,261.87158
690,236.81299
691,273.02386
692,248.12492
693,258.4742
694,224.85056
695,244.2641
696,246.86635
697,241.7947
698,263.4751
699,240.98676
700,233.03781
701,222.5601
702,238.52081
703,240.83018
704,238.8667
705,204.29872
706,243.65016
707,214.13649
708,229.10977
709,224.16216
710,219.45607
711,218.94861
712,229.94392
713,229.94928
714,215.84937
715,258.68323
716,238.60544
717,256.7984
718,343.69302
719,377.5089
720,373.10095
721,353.90756
722,344.66217
723,358.6679
724,341.2258
725,311.94687
726,351.06815
727,340.45752
728,333.92642
729,255.77193
730,290.9737
731,247.00723
732,260.88464
733,258.08456
734,270.78488
735,259.86172
736,263.04083
737,250.79105
738,237.13521
739,280.25208
740,245.1307
741,291.38724
742,242.7275
743,272.77283
1296,665.451
1297,603.2491
1298,530.6548
1299,622.3886
1300,631.1231
1301,490.85498
1302,502.42673
1303,399.07397
1304,319.0069
1305,333.8452
1306,318.53616
1307,317.52716
1308,333.2181
1309,298.7908
1310,276.8805
1311,275.06036
1312,277.65317
1313,264.117
1314,334.39865
1315,300.97836
1316,615.034
1317,688.7581
1318,498.01575
1319,568.2797
1320,610.2818
1321,466.03207
1322,656.3835
1323,711.0306
1324,599.50507
1325,573.1515
1326,647.8878
1327,642.1224
1328,590.30786
1329,555.7334
1330,485.595
1331,463.8853
1332,513.4441
1333,479.79404
1334,407.7314
1335,487.5943
1336,453.81763
1337,444.06006
1338,349.8342
1339,440.447
1340,411.89465
1341,378.44604
1342,367.13242
1343,365.2128
1344,359.79547
1345,344.25305
1346,446.5618
1347,436.84122
1348,333.52872
1349,428.65457
1350,382.99625
1351,329.43848
1352,371.2375
1353,332.39832
1354,325.62582
1355,345.63187
1356,673.9202
1357,725.9782
1358,687.97504
1359,643.7169
1360,817.1947
1361,614.16895
1362,746.315
1363,698.98645
1364,655.9876
1365,754.02386
1366,743.0066
1367,627.0696
1368,776.14404
1369,702.3094
1370,735.1319
1371,734.79144
1372,723.97437
1373,547.98737
1374,363.2897
1375,327.1613
1376,394.02466
1377,325.4033
1378,329.30133
1379,325.82874
1380,340.65668
1381,551.1736
1382,548.37787
1383,484.69116
1384,515.0912
1385,370.5197
1386,385.47
1387,476.18292
1388,478.44455
1389,468.52332
1390,580.3472
1391,610.2713
1392,586.9901
1393,527.8295
1394,579.3387
1395,549.0968
1396,550.4629
1397,504.45074
1398,494.76315
1399,455.30563
